SubIndex,a,t,v_neg_Co,v_neg_Ic,v_pos_Co,v_pos_Ic,z_neg_Co,z_neg_Ic,z_pos_Co,z_pos_Ic,switch_cost,Conflict_pos,Ic_prime_grade
0,1.704,0.387,3.266,3.063,3.212,2.787,0.436,0.442,0.483,0.458,419.2685216,43.91254865,-32.0694503
1,1.461,0.329,4.158,4.105,3.686,3.438,0.35,0.34,0.358,0.359,340.4991505,10.55148602,-21.79523147
2,1.354,0.412,3.7,3.819,3.824,3.912,0.412,0.408,0.509,0.531,375.0457909,-11.01435939,50.51383553
3,2.221,0.375,3.564,3.458,3.174,3.836,0.259,0.308,0.556,0.502,336.249435,-28.72420542,150.7244917
4,1.645,0.338,2.925,3.171,3.001,3.481,0.308,0.277,0.448,0.36,465.1468887,-12.80606243,95.17148431
5,1.588,0.474,1.319,1.123,1.92,1.79,0.39,0.434,0.506,0.476,686.4096782,50.28927143,77.7632022
6,1.436,0.36,3.582,2.914,2.928,3.917,0.363,0.458,0.482,0.358,490.529572,-8.664166049,11.24397898
7,1.514,0.412,4.883,3.972,4.587,4.012,0.416,0.486,0.418,0.457,140.7851254,13.24633691,-8.078959041
8,1.407,0.388,3.276,3.57,3.249,3.014,0.447,0.444,0.433,0.454,501.0018573,-4.879403405,-26.69364143
9,1.482,0.308,3.785,3.523,3.589,3.8,0.298,0.285,0.491,0.437,464.4769264,12.90493289,61.03329212
10,1.66,0.357,2.862,3.622,4.736,3.506,0.419,0.357,0.461,0.534,231.1978352,8.274288726,75.78001742
11,1.823,0.412,3.566,4.462,4.839,4.47,0.399,0.369,0.505,0.558,947.4214339,-26.34693162,84.50706961
12,1.982,0.46,2.801,3.268,2.875,2.794,0.41,0.453,0.481,0.489,706.3320629,9.304337183,-19.30233315
13,1.872,0.428,2.001,1.686,1.662,1.7,0.506,0.452,0.482,0.501,432.9074754,-34.00518182,64.80083369
14,1.404,0.341,4,3.416,3.175,3.346,0.306,0.306,0.421,0.374,231.5914408,-4.514814493,33.8677942
15,1.473,0.4,4.908,4.555,4.217,4.601,0.462,0.486,0.398,0.379,354.9841032,-17.77644521,-15.96036715
16,1.411,0.384,1.856,1.877,2.803,3.238,0.344,0.325,0.456,0.478,492.6631785,-10.30230104,176.7800305
17,1.526,0.355,3.66,3.633,3.008,3.187,0.366,0.315,0.535,0.483,475.1429253,23.37612662,41.4889776
18,1.047,0.401,3.513,3.156,3.772,3.427,0.376,0.343,0.424,0.442,297.6354225,18.75307818,32.03672218
19,1.39,0.346,3.988,3.883,3.133,3.765,0.36,0.382,0.557,0.454,321.3751213,-0.297038337,38.09341146
20,1.704,0.341,2.803,2.998,4.256,3.921,0.383,0.443,0.44,0.413,684.0555318,16.7898958,44.36673811
21,1.973,0.375,2.373,1.849,2.215,2.318,0.394,0.415,0.507,0.522,979.8802057,-18.28953556,157.6307765
22,1.184,0.428,3.132,3.339,2.289,1.86,0.494,0.47,0.447,0.439,180.93247,-7.987015238,-59.85288714
23,1.731,0.308,3.225,2.771,3.288,2.673,0.339,0.393,0.461,0.56,390.0828089,-4.957692,57.2141862
24,1.437,0.384,3.098,3.337,3.143,2.738,0.4,0.4,0.362,0.399,514.6736458,22.12148134,-63.19786516
25,1.853,0.383,3.512,3.073,2.705,3.139,0.322,0.364,0.524,0.467,517.4120098,-27.75058603,82.26871981
26,1.701,0.428,2.305,2.286,2.694,2.807,0.428,0.473,0.452,0.495,515.6644202,-21.6705415,52.55062661
27,2.234,0.483,2.225,2.294,2.603,2.063,0.444,0.461,0.486,0.546,268.7857445,4.060099457,44.39191465
28,2.179,0.468,2.52,2.692,2.467,2.463,0.42,0.373,0.529,0.516,314.0817053,14.46439865,68.57853488
29,2.026,0.368,2.046,1.944,2.384,1.734,0.47,0.468,0.471,0.522,598.4808884,73.08212176,25.81489888
30,1.805,0.418,2.729,3.635,3.342,3.167,0.479,0.446,0.434,0.462,401.001709,-2.545538648,-52.02139836
31,1.524,0.367,2.927,2.75,3.398,3.355,0.461,0.465,0.408,0.413,406.8011437,9.703860595,28.8650299
32,1.851,0.385,2.885,2.882,2.541,2.268,0.416,0.357,0.509,0.535,487.4552423,-1.539696324,92.16418646
33,1.606,0.328,3.815,4.092,2.91,3.026,0.379,0.333,0.567,0.544,149.1485498,22.73609917,23.28224737
34,1.654,0.334,3.951,3.695,4.659,3.717,0.426,0.437,0.351,0.383,515.3274649,30.60369648,-14.93817548
35,1.762,0.412,3.193,2.868,3.291,3.216,0.494,0.457,0.494,0.453,568.6039654,12.33426016,32.69821787
36,1.215,0.402,4.354,3.51,3.649,4.038,0.438,0.467,0.474,0.435,239.8739123,11.71771089,-10.73976271
37,1.615,0.39,3.705,4.083,3.59,2.671,0.392,0.385,0.471,0.574,347.7394205,9.045860559,-11.35927407
38,1.705,0.391,2.986,2.796,2.581,2.77,0.438,0.418,0.477,0.475,388.5832737,0.920491495,10.65947702
39,1.506,0.425,3.947,3.844,3.394,2.953,0.497,0.407,0.424,0.486,346.0643926,32.27872345,-64.40555328
40,1.471,0.37,2.979,3.215,3.605,3.705,0.393,0.379,0.482,0.492,730.7440808,-8.030391889,72.30520133
41,1.585,0.356,4.623,5.056,4.289,3.968,0.449,0.386,0.491,0.49,226.2164474,14.58893568,-7.672662
42,1.598,0.405,2.977,2.272,3.119,1.821,0.423,0.43,0.453,0.536,375.5023897,62.10151282,0.7243
43,1.626,0.394,3.308,2.589,3.23,3.399,0.437,0.456,0.502,0.538,441.0234095,-27.58039877,89.87743571
44,1.987,0.395,3.914,3.278,3.198,3.329,0.362,0.36,0.547,0.506,763.5997236,12.516516,90.85181066
45,1.516,0.439,2.937,2.97,3.458,2.62,0.423,0.387,0.43,0.542,296.3699778,12.14836438,43.14264118
46,1.879,0.412,2.985,2.414,2.049,1.845,0.441,0.482,0.473,0.554,596.7830615,-10.11252747,-24.72300384
47,2.268,0.423,2.663,2.389,2.696,2.423,0.419,0.44,0.481,0.498,467.0472819,35.51287756,77.78099076
48,2.029,0.346,3.901,3.796,3.76,3.907,0.385,0.401,0.515,0.459,271.4489382,24.56058307,26.24176017
49,1.666,0.329,3.287,3.015,3.385,2.992,0.381,0.383,0.496,0.478,268.1465426,34.88484049,42.07136618
50,2.102,0.43,2.877,2.999,2.951,2.547,0.449,0.456,0.455,0.466,414.8184718,54.60985341,-68.05719661
51,2.172,0.458,1.737,1.922,1.647,1.603,0.411,0.4,0.524,0.477,549.9928062,49.27812464,-4.551094365
